,#frame,#ncm,#ncm2,#ncm3,#ncm4,#ncm5,#ncm6,#ncm7,#ncm8,#ncm9,#ncm10,center
0,12,171,,,,,,,,,,"[127, 102]"
1,13,174,167,,,,,,,,,
2,14,170,163,,,,,,,,,
3,15,174,168,,,,,,,,,
4,16,166,162,,,,,,,,,
5,17,162,,,,,,,,,,
6,18,161,,,152,,,,,,,
7,19,166,,,,,,,,,,
8,20,166,,,,,,,,,,
9,21,165,,,,,,,,,,
10,22,165,,,,,,,,,,
11,23,170,,,,,,,,,,
12,24,171,,,,,,,,,,
13,25,170,,,,,,,,,,
14,26,176,,,,,,,,,,
15,27,176,,,,,,,,,,
16,28,175,,,,,,,,,,
17,29,175,,,,,,,,,,
18,30,176,,,,177,,,,,,
19,31,180,,,,,,,,,,
20,32,183,,,,,,,,,,
21,33,183,,,,,,,,,,
22,34,169,,,,,,,,,,
23,35,171,,,,,,,,,,
24,36,167,,,,,,,,,,
25,37,168,,,,,,,,,,
26,38,179,,,,,,,,,,
27,39,178,,,,,,,,,,
28,40,177,,,,,,,,,,
29,41,176,,,,,,,,,,
30,42,179,,,,,,,,,,
31,43,182,,,,,,,,,,
32,44,180,,,,,,,,,,
33,45,168,,,,,,,,,,
34,46,161,,,,,,,,,,
35,47,159,,,,,,,,,,
36,48,162,,,,,,,,,,
37,49,165,,,,,,,,,,
38,50,166,,,,,,,,,,
39,51,158,,,,,,,,,,
40,52,163,,,,,,,,,,
41,53,166,,,,,,,,,,
42,54,164,,,,,,,,,,
43,55,158,,,,,,,,,,
44,56,160,,,,,,,,,,
45,57,155,,,,,,,,,,
46,58,160,,,,,,,,,,
47,59,161,,,,,,,,,,
48,60,163,,,,,,,,,,
49,61,164,,,,,,,,,,
50,62,165,,,,,,,,,,
51,63,162,,,,,,,,,,
52,64,166,,,,,,,,,,
53,65,160,,,,,150,,,,,
54,66,168,,,,,156,,,,,
55,67,165,,,,,154,,,,,
56,68,172,,,,,163,,,,,
57,69,171,,,,,162,,,,,
58,70,163,,,,,152,151,154,,,
59,71,159,,,,,147,146,149,,,
60,72,169,,,,,156,155,168,,,
61,73,167,,,,,153,152,155,,,
62,74,163,,,,,154,,,,,
63,75,166,,,,,155,,,,,
64,76,169,,,,,157,,,,,
65,77,,,,,,159,,,,,
66,78,,,,,,,,,,,
67,79,,,,,,,,,,,
68,80,180,,,,,,,,,,
69,81,177,,,,,,,,,,
70,82,174,,,,,,,,,,
71,83,181,,,,,,,,,,
72,84,181,,,,,,,,,,
73,85,177,,,,,,,,,,
74,86,176,,,,,,,,,,
75,87,180,,,,,,,,,,
76,88,169,,,,,,,,,,
77,89,162,,,,,,,,,,
78,90,164,,,,,,,,,,
79,91,159,,,,,152,,,,,
80,92,164,,,,,157,,,,,
81,93,169,,,,,163,,,,,
82,94,171,,,,,165,,,,,
83,95,170,,,,,164,,,,,
84,96,165,,,,,159,,,,,
85,97,156,,,,,151,,,,,
86,98,155,,,,,150,,,,,
87,99,153,,151,,,147,,,,,
88,100,156,,,,,149,,151,,,
89,101,157,,,,,151,,154,,,
90,102,156,,,,,150,,153,,,
91,103,156,,,,,148,,152,,,
92,104,156,,,,,147,,152,,,
93,105,157,,,,,153,,,,,
94,106,152,,,,,144,,148,,,
95,107,159,,,,,150,,154,,,
96,108,166,,,,,157,,161,,,
97,109,,,,,,154,,158,,,
98,110,,,,,,159,,163,,,
99,111,,,,,,156,,160,,,
100,112,,,,,,159,,163,,,
101,113,,,,,,162,,166,,,
102,114,,,,,,160,,164,,,
103,115,,,,,,162,,166,,,
104,116,,,,,,163,,,,,
105,117,,,,,,152,,,,,
106,118,,,,,,160,,,154,,
107,119,,,,,,165,,,160,,
108,120,,,,,,164,,,,,
109,121,,,,,,159,,,,,
110,122,,,,,,156,,,,,
111,123,,,,,,152,,,,,
112,124,,,,,,161,,,,,
113,125,,,,,,155,,,,,
114,126,,,,,,163,,,167,,
115,127,,,,,,160,,,165,,
116,128,,,,,,164,,165,,,
117,129,,,,,,166,,,,164,
118,130,,,,,,170,,,,168,
119,131,,,,,,175,,,,173,
120,132,,,,,,173,,,,170,
121,133,,,,,,158,,,,,
122,134,,,,,,159,,,,,
123,135,,,,,,163,,,,,
