,#frame,#ncm,#ncm2,#ncm3,#ncm4,#ncm5,#ncm6,#ncm7,center
0,13,102,,,,,,,"[229, 543]"
1,14,99,,,,,,,"[229, 544]"
2,15,107,102,100,,,,,
3,16,102,98,,,,,,
4,17,101,96,,,,,,
5,18,100,95,,,,,,
6,19,99,93,,,,,,
7,20,102,95,,,,,,
8,21,104,93,,,,,,
9,22,103,94,,87,,,,
10,23,103,96,,89,,,,
11,24,102,97,,90,,,,
12,25,103,98,,92,,,,
13,26,105,99,,92,,,,
14,27,104,98,,91,,,,
15,28,107,101,,93,90,,,
16,29,105,,,93,,,,
17,30,102,,,90,,97,,
18,31,101,,,88,,96,,
19,32,99,,,88,,94,,
20,33,101,,,89,,95,,
21,34,91,,,81,,86,,
22,35,93,,,,,,,
23,36,94,,,,,,,
24,37,96,,,,,,,
25,38,99,103,,,,,,
26,39,99,103,,,,,,
27,40,97,102,,,,,,
28,41,98,103,,,,,,
29,42,,103,,98,,,,
30,43,101,106,,,,,,
31,44,103,108,,101,,,,
32,45,93,96,,90,,,,
33,46,88,92,,85,,,,
34,47,80,83,,,,,,
35,48,82,84,,,,,,
36,49,88,90,,,,,,
37,50,89,91,,,,,,
38,51,79,82,,,,,,
39,52,79,82,,,,,,
40,53,83,,,,,,,
41,54,81,,,,,,,
42,55,75,,,,,,,
43,56,,,,,,,,
44,57,,,,,,,,
45,58,,,,,,,,
46,59,,,,83,,,,
47,60,,,,84,,,,
48,61,88,,,84,,,85,
49,62,88,,,85,,,,
50,63,88,,,85,,,,
51,64,93,,,90,,,,
52,65,83,,,79,,,,
53,66,86,,,83,,,,
54,67,86,,,84,,,,
55,68,85,,,83,,,,
56,69,86,,,85,,,,
57,70,,,,80,,,,
58,71,,,,76,,,,
59,72,,,,85,,,,
60,73,,,,82,,,,
61,74,,,,85,,,,
62,75,,,,85,,,,
63,,,,,,,,,
64,,,,,,,,,
65,,,,,,,,,
66,,,,,,,,,
67,,,,,,,,,
68,,,,,,,,,
