,#frame,#ncm,#ncm2,center
0,288,29,,"[401, 919]"
1,289,30,,"[401, 918]"
2,290,25,,
3,291,23,,
4,292,23,,
5,293,24,,
6,294,26,,
7,295,25,,
8,296,27,,
9,297,24,,
10,298,24,,
11,299,24,,
12,300,22,,
13,301,19,,
14,302,21,,
15,303,19,,
16,304,20,,
17,305,18,,
18,306,25,,
19,307,26,,
20,308,23,,
21,309,25,,
22,310,24,,
23,311,29,,
24,312,30,,
25,313,28,,
26,314,28,,
27,315,29,,
28,316,27,,
29,317,29,,
30,318,30,,
31,319,29,,
32,320,31,,
33,321,31,,
34,322,30,,
35,323,32,,
36,324,32,,
37,325,34,,
38,326,33,,
39,327,28,,
40,328,28,,
41,329,29,,
42,330,30,,
43,331,30,,
44,332,31,,
45,333,29,,
46,334,29,,
47,335,29,,
48,336,32,,
49,337,36,,
50,338,40,,
51,339,40,,
52,340,42,,
53,341,41,,
54,342,38,,
55,343,41,,
56,344,41,,
57,345,41,,
58,346,42,,
59,347,42,,
60,348,40,,
61,349,42,,
62,350,44,,
63,351,41,,
64,352,41,,
65,353,44,,
66,354,44,,
67,355,42,,
68,356,42,,
69,357,41,37,
70,358,43,38,
