,#frame,#ncm,#ncm2,#ncm3,#ncm4,#ncm5,#ncm6,#ncm7,#ncm8,#ncm9,center
0,38,7,,,,,,,,,"[388, 1103]"
1,39,6,,,,,,,,,"[388, 1103]"
2,40,8,,,,,,,,,"[388, 1103]"
3,41,10,,,,,,,,,"[388, 1103]"
4,42,8,,,,,,,,,"[388, 1105]"
5,43,10,4,2,,,,,,,"[388, 1105]"
6,44,9,4,2,,,,,,,"[388, 1105]"
7,45,10,4,2,,,,,,,"[388, 1106]"
8,46,10,4,2,,,,,,,
9,47,9,4,,,,,,,,
10,48,9,5,,,,,,,,
11,49,10,6,,4,,,,,,
12,50,12,7,,5,,,,,,
13,51,9,6,,5,,,,,,
14,52,9,6,,4,,,,,,
15,53,10,7,,8,,,,,,
16,54,11,7,,8,,,,,,
17,55,10,6,,9,,,,,,
18,56,12,8,,10,1,,,,,
19,57,,11,,10,2,,,,,
20,58,,10,,,2,,,,,
21,59,,11,,,1,,12,,,
22,60,,11,,,,,12,,,
23,61,,13,,,,,,,,
24,62,,11,,,,,13,,,
25,63,,10,,,,,,,,
26,64,10,9,,,,,12,,,
27,65,,8,,,,,10,,,
28,66,,9,,,,,12,,,
29,67,,9,,,,,12,,,
30,68,,7,,,,,11,,,
31,69,,7,,,,,11,,,
32,70,,5,,,,,,,,
33,71,,5,,,,,,,,
34,72,,5,,,,8,9,,,
35,73,,5,,,,8,9,,,
36,74,,7,,,,10,,,,
37,75,,6,,,,8,,,,
38,76,,4,,,,7,,,,
39,77,,4,,,,7,,,,
40,78,,4,,,,6,,,,
41,79,,4,,,,6,,,,
42,80,,8,,,,10,,,,
43,81,,9,,,,12,11,,,
44,82,,8,,,,11,10,,,
45,83,,8,,,,11,10,,,
46,84,,5,,,,7,,,,
47,85,,4,,,,6,,,,
48,86,,5,,,,7,,,,
49,87,,5,,,,8,7,,,
50,88,,4,,,,,,,,
51,89,,5,,,,,,,,
52,90,,6,,,,,,,,
53,91,,3,,,,6,,,,
54,92,,4,,,,7,,,,
55,93,,5,,,,7,,,,
56,94,,7,,,,,,,,
57,95,,8,,,,,,,,
58,96,,8,,,,,,,,
59,97,,8,,,,,,,,
60,98,,6,,,,,,,,
61,99,,8,,,,,7,4,,
62,100,,9,,,,,6,,,
63,101,,10,,,,,7,,,
64,102,,7,,,,,5,,,
65,103,,,,,,8,6,,11,
66,104,,,,,,8,6,,10,
67,105,,,,,,10,,,,
68,106,,,,,,9,,,,
69,107,,,,,,11,,,,
70,108,,,,,,14,,,,
71,109,,,,,,13,,,,
72,110,,,,,,14,,,,
73,111,,,,,,13,,,,
74,112,,,,,,17,,,,
75,113,,,,,,18,,,,
76,114,,,,,,17,,,,
77,115,,,,,,17,,,,
78,116,,,,,,16,,,,
79,117,,,,,,14,,,17,
80,118,,,,,,13,,,16,
81,119,,,,,,12,,,14,
82,120,,,,,,13,,,14,
83,121,,,,,,15,,,16,
84,122,,,,,,13,,,15,
85,123,,,,,,11,,,15,
86,124,,,,,,12,,,16,
87,125,,,,,,12,,,16,
88,126,,,,,,12,,,16,
89,127,,,,,,12,,,16,
90,128,,,,,,11,,,,
91,129,,,,,,10,,,,
92,130,,,,,,11,,,,
93,131,,,,,,12,,,,
94,132,,,,,,10,,,,
95,133,,,,,,11,,,,
96,134,,,,,,11,,,,
97,135,,,,,,10,,,,
98,136,,,,,,11,,,,
99,137,,,,,,11,,,,
100,138,,,,,,8,,,,
101,139,,,,,,8,,,,
102,140,,,,,,10,,,,
103,141,,,,,,8,,,,
104,142,,,,,,10,,,,
105,143,,,,,,13,,,,
106,144,,,,,,13,,,,
107,145,,,,,,13,,,,
108,146,,,,,,12,,,,
