,#frame,#ncm,#ncm2,#ncm3,#ncm4,center
0,42,11,,,,"[388, 1056]"
1,43,13,,,,
2,44,12,,,,
3,45,12,,,,
4,46,13,,,,
5,47,11,,,,
6,48,11,,,,
7,49,13,,,,
8,50,15,,,,
9,51,12,,,,
10,52,13,,,,
11,53,15,,,,
12,54,16,,,,
13,55,15,,,,
14,56,16,,,,
15,57,18,13,,,
16,58,17,12,19,,
17,59,18,,20,,
18,60,18,,20,,
19,61,20,,,,
20,62,21,,,,
21,63,21,,,,
22,64,23,,,,
23,65,19,,,,
24,66,21,,,,
25,67,22,,,,
26,68,22,,,,
27,69,23,15,,,
28,70,18,,,,
29,71,18,,,,
30,72,21,11,,,
31,73,21,11,,,
32,74,20,12,,,
33,75,18,10,,,
34,76,14,,,,
35,77,14,,,,
36,78,15,,,,
37,79,15,,,,
38,80,18,,,,
39,81,21,,,,
40,82,20,,,,
41,83,20,,,,
42,84,14,,,,
43,85,13,,,,
44,86,14,,,,
45,87,15,,,,
46,88,14,,,,
47,89,14,,,,
48,90,15,,,,
49,91,15,,,,
50,92,16,,,,
51,93,14,,,16,
52,94,14,,,16,
53,95,14,,,,
54,96,13,,,,
55,97,14,,,,
56,98,12,,,,
57,99,13,,,,
58,100,15,,,,
59,101,15,,,,
