,#frame,#ncm,#ncm2,#ncm3,#ncm4,#ncm5,#ncm6,center
0,54,163,,,,,,"[222, 69]"
1,55,157,,,,,,"[221, 70]"
2,56,159,,,,,,
3,57,156,,,,,,
4,58,161,,,,,,
5,59,162,,,,,,
6,60,165,,,,,,
7,61,166,,,,,,
8,62,167,,,,,,
9,63,165,,,,,,
10,64,168,,,,,,
11,65,162,,,,,,
12,66,170,165,,,,,
13,67,167,,,,,,
14,68,174,169,,,,,
15,69,173,168,,,,,
16,70,165,160,,,,,
17,71,161,156,,,,,
18,72,171,166,,,,,
19,73,169,164,,,,,
20,74,166,160,,,,,
21,75,169,163,,,,,
22,76,172,166,,,,,
23,77,173,168,,,,,
24,78,175,,,,,,
25,79,176,,,,,,
26,80,183,,,,,,
27,81,181,,,,,,
28,82,178,,,,,,
29,83,185,,,,,,
30,84,187,,,,,,
31,85,183,,,,,,
32,86,182,175,183,,,,
33,87,186,179,188,,,,
34,88,175,168,177,,,,
35,89,167,160,169,,,,
36,90,169,162,172,,,,
37,91,165,158,,,,,
38,92,169,163,171,,,,
39,93,176,158,,167,,,
40,94,180,170,,169,,,
41,95,180,169,,168,,,
42,96,174,,,163,,,
43,97,163,,,,,,
44,98,160,,163,,,,
45,99,158,,161,,,,
46,100,161,,164,,,,
47,101,162,,166,,170,,
48,102,162,,167,,171,,
49,103,161,,166,155,171,,
50,104,161,,166,155,171,,
51,105,163,,169,156,174,,
52,106,158,,163,151,169,,
53,107,,,174,158,,,
54,108,171,,,165,182,,
55,109,,,177,162,,,
56,110,,,182,167,,,
57,111,168,,,164,181,,
58,112,172,,,167,184,,
59,113,173,,,170,188,176,
60,114,172,,,169,187,175,
61,115,174,,,171,188,,
62,116,172,,,169,187,,
63,117,161,,,158,175,,
64,118,169,,,167,182,,
65,119,174,,,172,187,,
66,120,,,,171,186,,
67,121,,,,167,182,,
68,122,,,,165,180,,
69,123,,,,161,176,,
70,124,,,,168,183,,
71,125,,,,166,181,,
72,126,,,,175,191,,
73,127,,,,172,188,,
74,128,,,,176,191,,
75,129,,,,,191,,
76,130,,,,,194,,
77,131,,,,,199,,
78,132,,,,,195,,
79,133,,,,,181,,
80,134,,,,,183,,
81,135,,,,,181,,
82,136,,,,,185,,
83,137,,,,,178,,
84,138,,,,,173,,
85,139,,,,,181,,
86,140,,,,,176,,
87,141,,,,,166,,
