,Pore_id,#frame,pore_index_per_frame,pore_cordinate,ncm_index_per_frame,adj_id
544,387,181,102,"[[113, 417], [113, 418], [113, 419], [112, 420], [112, 421], [112, 422], [113, 423], [114, 423], [115, 423], [116, 423], [117, 424], [118, 424], [119, 425], [120, 425], [121, 426], [121, 427], [121, 428], [120, 429], [119, 430], [119, 431], [119, 432], [120, 432], [121, 432], [122, 433], [123, 434], [123, 433], [124, 432], [124, 431], [123, 430], [122, 430], [121, 429], [122, 428], [123, 427], [123, 426], [123, 425], [123, 424], [123, 423], [123, 422], [124, 421], [124, 420], [123, 421], [122, 422], [121, 422], [120, 422], [119, 421], [118, 421], [117, 420], [116, 420], [115, 420], [114, 419], [113, 418]]",27,[]
545,387,181,103,"[[134, 400], [133, 401], [133, 402], [133, 403], [133, 404], [133, 405], [133, 406], [133, 407], [132, 408], [132, 409], [131, 410], [130, 411], [130, 412], [130, 413], [129, 414], [128, 415], [127, 415], [127, 416], [126, 417], [126, 418], [127, 417], [128, 416], [129, 415], [130, 415], [131, 414], [132, 414], [133, 414], [134, 414], [135, 414], [136, 413], [136, 412], [137, 411], [138, 410], [139, 410], [139, 409], [139, 408], [139, 407], [138, 407], [137, 407], [136, 406], [136, 405], [137, 404], [137, 403], [137, 402], [137, 401], [136, 401], [135, 400]]",27,[]
546,387,183,92,"[[134, 400], [134, 401], [135, 402], [134, 403], [134, 404], [133, 405], [133, 406], [133, 407], [133, 408], [132, 409], [132, 410], [131, 411], [130, 412], [130, 413], [129, 414], [128, 415], [127, 416], [126, 417], [126, 418], [125, 419], [124, 420], [124, 421], [125, 420], [126, 419], [127, 418], [128, 417], [129, 416], [130, 416], [131, 415], [132, 415], [133, 415], [134, 415], [135, 414], [136, 414], [136, 413], [136, 412], [137, 411], [138, 411], [139, 411], [139, 410], [139, 409], [139, 408], [138, 407], [137, 406], [137, 405], [137, 404], [137, 403], [138, 402], [137, 401], [136, 401], [135, 400]]",27,[]
547,387,185,112,"[[134, 400], [135, 401], [135, 402], [135, 403], [135, 404], [135, 405], [134, 406], [134, 407], [134, 408], [133, 409], [132, 410], [132, 411], [131, 412], [131, 413], [130, 414], [129, 415], [128, 416], [127, 416], [127, 417], [126, 418], [126, 419], [125, 420], [125, 421], [126, 420], [127, 419], [128, 418], [129, 417], [130, 416], [131, 416], [132, 416], [133, 415], [134, 415], [135, 415], [135, 414], [136, 413], [137, 412], [138, 412], [139, 412], [140, 412], [141, 411], [141, 410], [141, 409], [141, 408], [140, 408], [139, 408], [138, 407], [138, 406], [138, 405], [139, 404], [140, 403], [141, 403], [142, 403], [141, 403], [140, 403], [139, 402], [138, 402], [137, 402], [136, 401], [135, 400]]",27,[]
548,387,187,111,"[[135, 397], [134, 398], [134, 399], [135, 400], [135, 401], [135, 402], [135, 403], [136, 404], [136, 405], [136, 406], [136, 407], [135, 408], [134, 409], [134, 410], [133, 411], [133, 412], [132, 413], [131, 414], [130, 415], [129, 416], [128, 416], [127, 417], [126, 418], [126, 419], [126, 420], [126, 421], [126, 422], [127, 421], [128, 420], [129, 419], [130, 418], [131, 417], [132, 417], [133, 417], [134, 416], [135, 417], [136, 417], [137, 416], [137, 415], [138, 414], [139, 413], [140, 413], [141, 412], [141, 411], [142, 410], [142, 409], [143, 408], [144, 408], [145, 407], [146, 406], [145, 405], [145, 406], [144, 407], [143, 408], [142, 408], [141, 407], [140, 406], [139, 405], [138, 404], [137, 403], [137, 402], [136, 401], [136, 400], [135, 399], [135, 398]]",27,[]
549,387,188,94,"[[135, 397], [134, 398], [134, 399], [135, 400], [135, 401], [135, 402], [136, 403], [136, 404], [136, 405], [136, 406], [136, 407], [136, 408], [135, 409], [134, 410], [134, 411], [133, 412], [132, 413], [131, 414], [130, 415], [129, 416], [128, 417], [127, 417], [127, 418], [126, 419], [126, 420], [126, 421], [126, 422], [127, 421], [128, 420], [129, 419], [130, 418], [131, 417], [132, 417], [133, 417], [134, 417], [135, 417], [136, 417], [137, 416], [137, 415], [138, 414], [139, 414], [140, 413], [141, 412], [141, 411], [142, 410], [142, 409], [143, 408], [142, 408], [141, 407], [140, 406], [139, 405], [138, 404], [137, 403], [137, 402], [136, 401], [135, 400], [135, 399], [135, 398]]",27,[]
550,387,189,86,"[[135, 399], [135, 400], [136, 401], [136, 402], [136, 403], [136, 404], [136, 405], [136, 406], [136, 407], [136, 408], [136, 409], [136, 410], [135, 411], [134, 412], [133, 413], [132, 414], [131, 414], [130, 415], [129, 416], [128, 417], [127, 418], [127, 419], [127, 420], [128, 421], [129, 420], [130, 419], [130, 418], [131, 417], [132, 416], [133, 417], [134, 418], [135, 418], [136, 418], [137, 417], [137, 416], [138, 415], [139, 414], [140, 414], [141, 414], [141, 413], [141, 412], [142, 411], [142, 410], [142, 409], [141, 408], [140, 408], [139, 407], [139, 406], [138, 405], [137, 404], [137, 403], [136, 402], [136, 401], [136, 400]]",27,[]
551,387,190,75,"[[135, 400], [136, 401], [136, 402], [136, 403], [136, 404], [137, 405], [137, 406], [137, 407], [137, 408], [136, 409], [136, 410], [135, 411], [134, 412], [133, 413], [132, 414], [131, 414], [131, 415], [130, 416], [129, 417], [128, 417], [128, 418], [127, 419], [127, 420], [126, 421], [125, 422], [126, 421], [127, 420], [128, 420], [129, 420], [130, 419], [131, 418], [132, 418], [133, 418], [134, 419], [135, 419], [136, 418], [137, 417], [138, 416], [139, 415], [140, 415], [141, 414], [141, 413], [141, 412], [142, 411], [143, 410], [144, 410], [145, 409], [146, 408], [147, 407], [148, 407], [148, 406], [147, 406], [146, 406], [145, 406], [145, 407], [145, 408], [144, 409], [143, 409], [142, 409], [141, 409], [140, 408], [139, 407], [138, 406], [138, 405], [137, 404], [136, 403], [136, 402], [136, 401]]",27,[]
552,387,191,105,"[[138, 406], [137, 407], [137, 408], [137, 409], [137, 410], [137, 411], [136, 412], [135, 413], [134, 414], [133, 414], [132, 415], [131, 415], [131, 416], [130, 417], [129, 417], [129, 418], [129, 419], [130, 420], [130, 421], [130, 422], [130, 423], [131, 422], [132, 422], [133, 421], [134, 420], [135, 419], [136, 419], [136, 418], [137, 417], [138, 417], [139, 417], [140, 416], [141, 415], [141, 414], [141, 413], [141, 412], [142, 411], [143, 410], [144, 410], [145, 410], [146, 409], [147, 409], [148, 408], [149, 407], [150, 406], [151, 406], [150, 406], [149, 406], [148, 406], [147, 407], [146, 406], [145, 407], [145, 408], [144, 409], [143, 409], [142, 409], [141, 408], [140, 407], [139, 407]]",27,[]
553,387,192,96,"[[138, 406], [138, 407], [137, 408], [137, 409], [137, 410], [137, 411], [136, 412], [135, 413], [134, 414], [133, 414], [132, 415], [131, 416], [130, 417], [129, 417], [129, 418], [130, 419], [130, 420], [130, 421], [130, 422], [130, 423], [131, 423], [132, 422], [133, 421], [134, 420], [135, 419], [136, 419], [137, 418], [138, 417], [139, 417], [140, 416], [141, 415], [141, 414], [141, 413], [141, 412], [142, 411], [143, 411], [144, 410], [145, 409], [146, 409], [147, 409], [148, 408], [149, 407], [150, 406], [151, 406], [150, 406], [149, 406], [148, 406], [147, 407], [146, 407], [145, 408], [144, 409], [143, 409], [142, 409], [141, 408], [140, 407], [139, 407]]",27,[]
