,#frame,#ncm,#ncm2,#ncm3,#ncm4,center
0,25,115,,,,"[654, 244]"
1,26,111,,,,
2,27,110,,,,"[653, 244]"
3,28,108,,,,
4,29,114,113,,,
5,30,113,112,,,
6,31,113,111,,,
7,32,115,112,,,
8,33,111,108,113,,
9,34,112,109,114,,
10,35,125,123,127,,
11,36,127,125,129,,
12,37,122,119,124,,
13,38,121,118,123,,
14,39,123,,,,
15,40,122,,,,
16,41,117,,,,
17,42,123,,,,
18,43,128,,,,
19,44,125,,,,
20,45,118,,,,
21,46,115,,,,
22,47,117,,,,
23,48,121,,,,
24,49,120,,,,
25,50,121,,,,
26,51,120,,,,
27,52,121,,,,
28,53,120,,,,
29,54,116,,,,
30,55,115,,,,
31,56,115,,,,
32,57,120,,,,
33,58,117,,,,
34,59,113,,,,
35,60,123,,,,
36,61,126,,,,
37,62,136,,,,
38,63,136,,,,
39,64,134,,,,
40,65,133,,,,
41,66,136,,,,
42,67,133,,,,
43,68,132,,,,
44,69,130,,,,
45,70,135,,,,
46,71,130,,,,
47,72,132,,,,
48,73,129,,,,
49,74,123,,,,
50,75,124,,,,
51,76,132,,,,
52,77,128,,,,
53,78,129,,,,
54,79,136,,,,
55,80,138,,,,
56,81,138,,,,
57,82,145,,,,
58,83,141,,,,
59,84,146,,,,
60,85,146,,,,
61,86,146,,,,
62,87,130,,,,
63,88,135,,,,
64,89,136,,,,
65,90,130,,,134,
66,91,131,,,132,
67,92,,,,129,
68,93,,,,132,
69,94,,,,132,
70,95,,,,132,
71,96,,,,128,
72,97,,,,122,
73,98,,,,118,
74,99,,,,119,
75,100,,,,119,
76,101,,,,116,
77,102,,,,119,
78,103,,,,120,
79,104,,,,121,
80,105,,,,122,
81,106,,,,124,
82,107,,,,124,
83,108,,,,123,
