,#frame,#ncm,center
0,67,111,"[420, 373]"
1,68,110,"[421, 373]"
2,69,109,"[421, 373]"
3,70,114,"[421, 373]"
4,71,110,"[420, 373]"
5,72,111,"[420, 373]"
6,73,111,"[419, 374]"
7,74,105,"[419, 374]"
8,75,103,"[418, 374]"
9,76,111,"[418, 374]"
10,77,106,"[417, 375]"
11,78,107,"[417, 375]"
12,79,115,"[417, 375]"
13,80,115,"[416, 375]"
14,81,119,"[416, 376]"
15,82,122,"[416, 376]"
16,83,117,"[415, 376]"
17,84,122,"[415, 376]"
18,85,120,"[415, 376]"
19,86,126,"[414, 376]"
20,87,110,"[414, 376]"
21,88,116,"[414, 376]"
22,89,118,"[414, 376]"
23,90,114,"[413, 377]"
24,91,112,"[413, 377]"
25,92,108,"[413, 378]"
26,93,111,"[413, 378]"
27,94,110,
28,95,110,
29,96,108,
30,97,102,
31,98,94,
32,99,99,
33,100,97,
