,#frame,#ncm,#ncm2,#ncm3,center
0,67,139,,,"[665, 199]"
1,68,138,,,
2,69,137,,,
3,70,142,,,
4,71,139,140,,
5,72,141,142,,
6,73,139,,,
7,74,133,,,
8,75,135,,,
9,76,143,,,
10,77,138,,,
11,78,139,,,
12,79,146,,,
13,80,148,,,
14,81,148,,,
15,82,154,,,
16,83,152,,,
17,84,155,,,
18,85,157,,,
19,86,160,,,
20,87,144,,,
21,88,147,,,
22,89,151,,,
23,90,148,,144,
24,91,146,,142,
25,92,142,,,
26,93,145,,,
27,94,145,,,
28,95,144,,,
29,96,140,,,
30,97,133,,,
31,98,129,,,
32,99,130,,,
33,100,131,,,
34,101,129,,,
35,102,131,,,
36,103,132,,,
37,104,133,,,
38,105,136,,,
39,106,133,138,,
40,107,133,138,,
41,108,132,,,
42,109,130,,,
43,110,131,,,
44,111,130,,,
45,112,129,,,
46,113,136,,,
47,114,127,,,
48,115,129,,,
49,116,131,,,
50,117,,,,
51,118,123,,,
52,119,124,,,
53,120,125,,,
54,121,131,,,
55,122,123,,,
56,123,130,,,
57,124,126,,,
58,125,120,,,
59,126,127,,,
60,127,127,,,
61,128,125,,,
62,129,127,,,
