,#frame,#ncm,,,center
0,75,18,,,"[482, 1000]"
1,76,17,,,
2,77,18,,,
3,78,18,,,
4,79,20,,,
5,80,22,,,
6,81,22,,,
7,82,23,,,
8,83,21,,,
9,84,22,,,
10,85,,21,,
11,86,,,,
12,87,,,,
13,88,,,,
14,89,,,,
15,90,,,,
16,91,18,,,
17,92,17,,,
18,93,20,,,
19,94,18,,,
20,95,18,,,
21,96,17,,,
22,97,16,,,
23,98,15,,,
24,99,16,,,
25,100,17,,,
26,101,17,,,
27,102,15,,,
28,103,14,,,
29,104,12,,,
30,105,13,,,
31,106,12,,,
32,107,13,,,
33,108,13,,,
34,109,12,,,
35,110,11,,,
36,111,10,,,
37,112,10,,,
38,113,11,,,
39,114,10,,,
