,#frame,#ncm,#ncm2,center
0,8,122,,"[579, 301]"
1,9,122,,
2,10,116,,
3,11,115,,
4,12,115,,
5,13,115,,
6,14,110,,
7,15,120,,
8,16,113,,
9,17,114,,
10,18,106,,
11,19,106,,
12,20,106,,
13,21,107,,
14,22,112,,
15,23,113,110,
16,24,114,,
17,25,111,109,
18,26,108,,
19,27,108,104,
20,28,106,102,
21,29,112,,
22,30,111,,
23,31,110,,
24,32,111,,
25,33,105,,
26,34,106,,
27,35,120,,
28,36,122,,
29,37,116,,
30,38,115,,
31,39,117,,
32,40,116,,
33,41,112,,
34,42,116,,
35,43,119,,
36,44,118,,
37,45,110,,
38,46,109,,
39,47,110,,
40,48,114,,
41,49,114,,
42,50,114,,
