,Pore_id,#frame,pore_index_per_frame,pore_cordinate,ncm_index_per_frame,adj_id
233,172,26,208,"[[793, 238], [792, 239], [791, 239], [790, 239], [789, 239], [788, 240], [787, 241], [787, 242], [786, 243], [785, 243], [784, 243], [783, 244], [783, 245], [782, 246], [782, 247], [783, 246], [784, 246], [785, 245], [786, 246], [786, 247], [786, 248], [787, 248], [788, 248], [789, 249], [789, 250], [789, 251], [790, 252], [791, 251], [792, 250], [792, 249], [791, 248], [790, 247], [789, 247], [788, 246], [788, 245], [787, 244], [787, 243], [788, 242], [789, 243], [790, 243], [791, 243], [792, 243], [792, 242], [793, 241], [794, 240], [794, 239], [794, 238]]",8,[]
234,172,27,208,"[[785, 244], [784, 245], [783, 245], [782, 246], [782, 247], [781, 248], [780, 248], [779, 248], [778, 248], [777, 248], [776, 249], [775, 249], [774, 249], [773, 249], [772, 248], [771, 249], [770, 249], [769, 248], [768, 248], [767, 249], [768, 249], [769, 249], [770, 249], [771, 250], [772, 250], [773, 250], [774, 250], [775, 250], [776, 250], [777, 250], [778, 250], [779, 249], [780, 249], [781, 249], [782, 249], [782, 248], [783, 247], [784, 247], [785, 247], [786, 248], [786, 249], [787, 250], [788, 250], [789, 251], [789, 252], [790, 252], [790, 251], [790, 250], [791, 249], [791, 248], [790, 247], [789, 247], [788, 248], [787, 248], [786, 247], [785, 246], [785, 245]]",8,[]
235,172,28,194,"[[784, 245], [783, 246], [782, 247], [781, 248], [780, 248], [779, 248], [778, 248], [777, 249], [776, 249], [775, 249], [774, 249], [773, 249], [772, 248], [771, 249], [770, 249], [769, 248], [768, 248], [768, 249], [769, 249], [770, 250], [771, 250], [772, 250], [773, 250], [774, 250], [775, 250], [776, 250], [777, 250], [778, 250], [779, 249], [780, 249], [781, 249], [782, 249], [783, 248], [784, 247], [785, 247], [786, 248], [786, 249], [787, 250], [788, 250], [789, 251], [790, 252], [790, 251], [790, 250], [791, 249], [791, 248], [791, 247], [790, 247], [789, 247], [789, 248], [788, 249], [787, 248], [786, 247], [786, 246], [785, 245]]",8,[]
236,172,29,215,"[[784, 245], [783, 246], [783, 247], [782, 248], [781, 249], [780, 249], [779, 249], [778, 249], [777, 249], [776, 249], [775, 249], [774, 249], [773, 249], [772, 249], [771, 249], [770, 249], [769, 249], [768, 248], [767, 248], [768, 249], [769, 250], [770, 250], [771, 250], [772, 251], [773, 252], [774, 252], [775, 253], [776, 253], [777, 254], [778, 254], [779, 255], [780, 256], [781, 257], [782, 257], [783, 258], [784, 259], [784, 260], [785, 260], [784, 259], [784, 258], [784, 257], [783, 256], [783, 255], [782, 254], [781, 253], [781, 252], [781, 251], [782, 250], [782, 249], [783, 248], [784, 248], [785, 249], [786, 250], [787, 250], [788, 249], [789, 249], [790, 249], [791, 249], [790, 248], [789, 248], [788, 249], [787, 248], [786, 247], [786, 246], [785, 245]]",8,[]
237,172,30,195,"[[788, 243], [788, 244], [788, 245], [787, 246], [786, 246], [785, 245], [784, 246], [783, 247], [783, 248], [782, 249], [781, 249], [780, 249], [779, 249], [778, 249], [777, 249], [776, 249], [775, 249], [774, 249], [773, 249], [772, 249], [771, 249], [770, 249], [769, 249], [768, 249], [767, 248], [768, 249], [769, 250], [770, 250], [771, 250], [772, 251], [773, 252], [774, 252], [775, 253], [776, 253], [777, 254], [778, 254], [779, 255], [780, 256], [781, 257], [782, 257], [783, 258], [784, 259], [784, 260], [784, 259], [784, 258], [783, 257], [783, 256], [783, 255], [782, 254], [781, 253], [782, 252], [782, 251], [782, 250], [782, 249], [783, 248], [784, 249], [785, 249], [786, 249], [787, 249], [787, 248], [786, 247], [787, 246], [788, 246], [789, 246], [789, 245], [790, 244], [790, 243], [789, 243]]",8,[]
238,172,31,205,"[[788, 244], [788, 245], [787, 246], [786, 246], [785, 246], [784, 247], [784, 248], [783, 249], [782, 250], [781, 251], [780, 251], [779, 250], [778, 250], [777, 249], [776, 249], [775, 250], [774, 250], [773, 250], [772, 251], [771, 251], [770, 250], [769, 250], [770, 250], [771, 251], [772, 252], [773, 252], [774, 253], [775, 253], [776, 254], [777, 254], [778, 255], [779, 256], [780, 257], [781, 258], [782, 259], [783, 259], [784, 260], [784, 259], [783, 258], [783, 257], [782, 256], [782, 255], [782, 254], [781, 253], [782, 252], [783, 251], [784, 251], [785, 251], [786, 251], [785, 250], [786, 249], [786, 248], [786, 247], [787, 246], [788, 246], [789, 247], [789, 248], [790, 248], [791, 248], [791, 247], [790, 246], [791, 245], [791, 244], [790, 244], [789, 244]]",8,[]
239,172,32,200,"[[789, 244], [788, 245], [787, 246], [786, 247], [785, 247], [784, 248], [783, 248], [783, 249], [783, 250], [782, 251], [781, 251], [780, 252], [779, 252], [778, 253], [777, 252], [776, 252], [775, 251], [776, 250], [777, 250], [778, 250], [777, 249], [776, 249], [775, 250], [774, 250], [773, 251], [772, 251], [771, 251], [770, 250], [769, 250], [768, 250], [769, 250], [770, 251], [771, 252], [772, 252], [773, 252], [774, 253], [775, 253], [776, 254], [777, 255], [778, 255], [779, 256], [780, 257], [781, 258], [782, 259], [783, 260], [784, 259], [783, 258], [783, 257], [782, 256], [782, 255], [782, 254], [782, 253], [782, 252], [783, 251], [784, 251], [785, 251], [786, 251], [786, 250], [786, 249], [786, 248], [786, 247], [787, 246], [788, 246], [789, 247], [789, 248], [790, 248], [791, 248], [791, 247], [791, 246], [791, 245], [791, 244], [790, 244]]",8,[]
240,172,33,198,"[[785, 247], [784, 248], [783, 248], [782, 248], [782, 249], [782, 250], [781, 251], [782, 252], [781, 253], [780, 254], [779, 254], [778, 254], [777, 254], [776, 253], [775, 252], [775, 251], [776, 250], [777, 250], [778, 250], [779, 250], [779, 249], [778, 249], [777, 249], [776, 249], [775, 249], [774, 250], [773, 250], [772, 251], [772, 252], [773, 252], [774, 253], [775, 254], [776, 255], [777, 255], [778, 256], [778, 257], [779, 258], [779, 259], [780, 259], [781, 260], [782, 260], [783, 260], [783, 259], [782, 258], [781, 257], [781, 256], [782, 255], [782, 254], [782, 253], [782, 252], [783, 251], [784, 251], [783, 250], [784, 249], [785, 248], [786, 247]]",8,[]
241,172,34,196,"[[785, 247], [784, 248], [783, 248], [782, 248], [781, 248], [780, 248], [779, 248], [778, 248], [777, 249], [776, 249], [775, 249], [774, 250], [773, 250], [772, 251], [771, 252], [772, 252], [773, 252], [774, 253], [775, 254], [776, 255], [777, 255], [778, 256], [778, 257], [779, 258], [779, 259], [780, 260], [781, 260], [782, 261], [783, 261], [783, 260], [783, 259], [782, 258], [782, 257], [781, 256], [781, 255], [782, 254], [782, 253], [782, 252], [783, 251], [783, 250], [783, 249], [784, 248]]",8,[]
242,172,35,203,"[[781, 247], [780, 248], [779, 248], [778, 248], [777, 248], [776, 249], [775, 249], [774, 250], [773, 250], [772, 251], [771, 251], [770, 252], [771, 252], [772, 252], [773, 253], [774, 253], [775, 254], [775, 255], [776, 256], [777, 256], [778, 257], [779, 258], [779, 259], [779, 260], [780, 261], [781, 262], [782, 263], [783, 264], [783, 263], [783, 262], [783, 261], [782, 260], [781, 260], [780, 259], [779, 258], [780, 257], [781, 257], [781, 256], [781, 255], [780, 255], [779, 256], [778, 256], [777, 255], [776, 255], [775, 254], [774, 253], [774, 252], [774, 251], [775, 250], [776, 250], [777, 249], [778, 249], [779, 249], [780, 249], [781, 249], [782, 250], [782, 251], [783, 251], [783, 250], [783, 249], [782, 248]]",8,[]
