,ncm_ind,volume_raw,volume,perimeter_raw,perimeter,dist_from_center,dist_mean,contact_area,contact_area_mean,contact_area_extended_pore,contact_area_extended_ncm,concated_pore_number
0,0,[5233.5],5233.5,[1493.9351961612701],1493.9351961612701,"[[192.76929216034384, 193.27959023135372, 193.27959023135372, 193.7937047481161, 192.93781381574738, 193.45800577903205, 191.9713520294109, 192.50974001333023, 192.21342304844373, 192.21342304844373, 192.7615106809448, 192.7615106809448, 193.31321734428818, 192.4811679100062, 193.03885619221847, 193.60010330575756, 193.60010330575756, 193.60010330575756, 194.42736432920137, 194.42736432920137, 194.9897433200013, 195.816240388789, 196.3797341886377, 196.3797341886377, 197.77006851391846]]",[193.75091028358554],0.0,0.0,1.4142135381698608,2.8284270763397217,1
1,1,[2806.5],2806.5,[907.6610300540924],907.6610300540924,"[[560.4319762468948, 559.4729662816604, 559.4729662816604, 558.5597550844493, 558.5597550844493, 558.5597550844493, 558.6054063469132, 557.654014600451, 557.7033261510998, 557.7544262486851, 557.7544262486851, 557.8619901014946, 557.8619901014946, 557.9184528226325, 557.9767020225845, 557.9767020225845, 558.0367371419197, 558.0367371419197, 558.0985576042998]]",[558.3314022430699],0.0,0.0,0.0,0.0,1
2,2,[681.5],681.5,[281.4213538169861],281.4213538169861,"[[406.2769991028289, 405.3159261613094, 404.357515077932, 404.357515077932, 404.357515077932, 403.35840142483704, 403.35840142483704]]",[404.48318190680124],0.0,0.0,32.2669278383255,51.19408142566681,1
3,3,[2697.0],2697.0,[806.0092282295227],806.0092282295227,"[[372.6996109469394, 372.6996109469394, 372.6781453211336, 371.9811823197512, 371.2640569729313, 371.2640569729313, 371.2640569729313, 371.2640569729313, 371.96236368751073, 371.24789561693143, 371.24789561693143, 371.24789561693143, 371.24789561693143, 371.24789561693143, 369.8229306032821]]",[371.54263665346264],150.90375769138336,16.767084187931484,234.9736876487732,441.37739980220795,11
4,4,[1335.5],1335.5,[470.9310202598572],470.9310202598572,"[[607.1836624943065, 607.3755016462221, 608.3568032002272, 608.3568032002272, 607.5689261310193, 607.5689261310193, 607.5689261310193, 607.5689261310193, 606.7833221175414, 606.7833221175414]]",[607.5115119300143],12.485281229019165,4.161760409673055,28.126267552375793,70.16557931900024,1
5,5,"[26937.0, 303.0]",27240.0,"[4777.599525690079, 113.42640614509583]",4891.025931835175,"[[885.6477855219873, 885.6477855219873, 886.4541725323425, 885.8634206241953, 885.8634206241953, 885.8634206241953, 886.6707393390176, 886.0812603819132, 886.8895083379891, 886.8895083379891, 888.2865528645584, 889.0950455378772, 889.0950455378772, 888.5071749850982, 887.3336463811119, 887.5590121225744, 883.8308661729347, 883.249681573676, 883.249681573676, 883.249681573676, 883.249681573676, 883.8308661729347, 883.8308661729347, 885.2259598543188, 885.2259598543188, 885.2259598543188, 886.3909972467004, 887.2034715892404, 887.2034715892404, 887.2034715892404, 887.2034715892404, 887.2034715892404, 886.6211141180883, 886.6211141180883, 886.6211141180883, 886.0395025053906, 886.0395025053906, 886.0395025053906, 885.5789067045353, 885.5789067045353, 885.3519074356817, 885.3519074356817, 885.3519074356817, 884.5411239733289, 884.5411239733289], [865.9653572747584, 865.9653572747584, 865.9653572747584]]","[885.9689487194996, 865.9653572747584]",384.36459016799927,16.711503920347795,605.5201309919357,1269.2336165904999,25
6,6,"[8179.0, 4895.0]",13074.0,"[1990.4124606847763, 1156.9818786382675]",3147.394339323044,"[[352.8809997718778, 353.3751547576598, 354.36986327846785, 354.87039887823835, 357.1022262602125, 357.60453017264757, 359.477398455035, 359.477398455035, 360.84622763720284, 360.84622763720284, 365.4654566439898, 359.12393403949005, 359.12393403949005, 359.63453671748493, 358.77569594385847, 360.14719213121737, 359.2895768040036, 359.8055030151707, 359.8055030151707, 359.8055030151707], [379.90656746100086, 379.90656746100086, 380.7571404451924, 380.7571404451924, 380.7571404451924, 380.7571404451924, 380.7571404451924, 380.7571404451924, 379.90656746100086, 380.7571404451924, 379.90656746100086, 379.90656746100086, 379.90656746100086, 378.73737602724134, 378.73737602724134, 379.26903380054637, 379.26903380054637]]","[358.5913630334313, 380.04424750223103]",154.32010626792908,9.077653309878182,311.7680220603943,651.5361467599869,11
7,7,[6935.5],6935.5,[1622.5971026420593],1622.5971026420593,"[[232.14219780126146, 232.14219780126146, 231.3114783144148, 231.3114783144148, 231.3114783144148, 231.3114783144148, 230.7552816296953, 230.7552816296953, 230.7552816296953, 230.7552816296953, 231.5879962346926, 232.14219780126146, 232.14219780126146, 232.14219780126146, 232.14219780126146, 232.14219780126146, 232.97424750388186, 232.42202993692314, 232.42202993692314, 232.42202993692314, 232.42202993692314, 231.87280996270349, 231.32660893204655]]",[231.7700959463604],2.0,2.0,4.414213538169861,13.650281548500061,1
8,8,[9913.0],9913.0,[2368.1748723983765],2368.1748723983765,"[[740.412047443854, 739.4166619707728, 738.5181108138107, 738.5181108138107, 738.6162738526684, 732.3824137702926, 732.2738558763381, 731.2797002515522, 730.9616953028387, 730.9616953028387, 729.9671225473104, 729.8636859030596, 729.7616049094389, 729.6608801354229, 730.458759958425, 730.458759958425, 731.262606728937, 731.262606728937, 731.262606728937, 731.262606728937, 730.2670744323614, 729.2715543609253, 729.1776189653657, 729.1776189653657]]",[732.3523196854427],219.8580733537674,15.70414809669767,355.66076135635376,840.3642871379852,12
9,9,[1005.0],1005.0,[392.0904005765915],392.0904005765915,"[[176.18456232031227, 176.18456232031227, 176.18456232031227, 176.18456232031227, 176.86718180600946, 176.86718180600946, 176.86718180600946, 177.55280904564702, 176.1050822662424]]",[176.55529844568522],4.650281548500061,4.650281548500061,10.242640614509583,17.3731826543808,1
10,10,[10546.0],10546.0,[2531.3922513723373],2531.3922513723373,"[[494.50176946093933, 494.8989795907848, 493.5838327984416, 493.5838327984416, 492.6662156064692, 492.6662156064692, 491.35119822790705, 491.35119822790705, 490.0367333170035, 489.11859502578716, 487.80426402400377, 487.80426402400377, 486.8860236235992, 486.8860236235992, 486.49049322674335, 485.17728718479805, 484.25819559404465, 484.25819559404465, 483.3394252489652, 482.94513145905097, 482.420977984996, 482.420977984996, 481.50285565092963, 480.58506010903, 480.58506010903, 479.27027865287033, 479.27027865287033, 479.6675932351486, 479.6675932351486, 482.2996993571528, 481.7852218572089]]",[486.0994668094317],0.0,0.0,0.0,0.0,0
11,11,[1208.0],1208.0,[537.534051656723],537.534051656723,"[[579.7257972524596, 580.7073273172984, 580.7073273172984, 580.7073273172984, 580.7073273172984, 580.7073273172984, 581.6889203001894, 581.6889203001894, 581.6889203001894, 581.6889203001894, 581.6889203001894, 581.6889203001894, 581.6889203001894]]",[581.160375072329],0.0,0.0,0.0,0.0,0
12,12,[3754.0],3754.0,[1089.2173789739609],1089.2173789739609,"[[377.81079921039844, 378.21951298154886, 378.21951298154886, 378.21951298154886, 378.21951298154886, 377.30756684699554, 377.30756684699554, 376.80897016923575, 376.80897016923575, 376.80897016923575, 376.80897016923575, 375.89892258425004, 375.89892258425004, 374.98933318162534, 374.98933318162534, 374.98933318162534, 374.5744251814317, 374.5744251814317, 375.4850196745537]]",[376.5231358030696],0.0,0.0,1.0,2.414213538169861,1
13,13,[6005.0],6005.0,[1477.827550649643],1477.827550649643,"[[393.30013984233466, 394.2549936272209, 394.2549936272209, 394.2549936272209, 393.37768111574405, 392.5009554128499, 392.5009554128499, 391.14319628494115, 391.14319628494115, 389.7858386344994, 389.7858386344994, 389.7858386344994, 388.4288866703917, 388.4288866703917, 386.1942516402853, 386.1942516402853, 384.83762809787714, 384.83762809787714, 384.83762809787714, 383.9596332949598, 385.3167528151352, 386.1942516402853, 386.1942516402853, 386.1942516402853]]",[389.0711217951983],4.650281548500061,2.3251407742500305,21.820368766784668,28.47065031528473,1
