,Pore_id,volume_raw,volume_mean,surface_raw,surface_mean
0,0,[21.5],21.5,[32.55634891986847],32.55634891986847
1,1,"[165.5, 149.0, 122.5, 118.0]",138.75,"[165.53910398483276, 160.1248904466629, 135.95331752300262, 131.71067690849304]",148.33199721574783
2,2,"[82.0, 87.5, 67.0, 55.0, 36.0]",65.5,"[72.5979790687561, 72.84061968326569, 59.69848430156708, 41.21320307254791, 31.14213538169861]",55.498484301567075
3,4,[41.5],41.5,[30.485281229019165],30.485281229019165
4,5,[389.5],389.5,[242.0365778207779],242.0365778207779
5,6,[42.5],42.5,[37.79898953437805],37.79898953437805
6,7,[108.0],108.0,[131.9827550649643],131.9827550649643
7,8,[41.0],41.0,[33.14213538169861],33.14213538169861
8,9,[76.0],76.0,[115.56854152679443],115.56854152679443
9,10,[36.5],36.5,[31.38477599620819],31.38477599620819
10,11,"[62.0, 93.0]",77.5,"[109.91168737411499, 112.32590091228485]",111.11879414319992
11,12,"[86.0, 69.0]",77.5,"[122.39696860313416, 80.94112491607666]",101.66904675960541
12,13,[66.5],66.5,[77.5269113779068],77.5269113779068
13,14,"[24.0, 111.0]",67.5,"[30.313708305358887, 116.39696860313416]",73.35533845424652
14,15,"[22.5, 20.5, 17.5]",20.166666666666668,"[32.97056245803833, 30.55634891986847, 30.55634891986847]",31.36108676592509
15,16,"[89.0, 112.5, 104.5, 106.0]",103.0,"[57.28427076339722, 72.84061968326569, 62.35533845424652, 68.94112491607666]",65.35533845424652
16,17,"[82.5, 152.0]",117.25,"[67.18376553058624, 102.25483322143555]",84.7192993760109
17,18,[140.5],140.5,[100.15432798862457],100.15432798862457
18,19,[197.0],197.0,[153.85281229019165],153.85281229019165
19,20,[36.5],36.5,[41.455843687057495],41.455843687057495
20,21,[207.0],207.0,[151.02438521385193],151.02438521385193
21,22,[62.0],62.0,[64.4558436870575],64.4558436870575
22,23,[69.0],69.0,[50.38477599620819],50.38477599620819
23,24,[57.5],57.5,[65.04163014888763],65.04163014888763
24,25,[210.5],210.5,[183.61017167568207],183.61017167568207
25,26,[159.0],159.0,[118.88224983215332],118.88224983215332
26,27,[54.5],54.5,[68.69848430156708],68.69848430156708
27,28,[212.5],212.5,[121.32590091228485],121.32590091228485
28,29,[152.0],152.0,[118.0538227558136],118.0538227558136
29,30,[50.5],50.5,[68.69848430156708],68.69848430156708
30,31,[213.0],213.0,[123.91168737411499],123.91168737411499
