,ncm_ind,volume_raw,volume,perimeter_raw,perimeter,dist_from_center,dist_mean,contact_area,contact_area_mean,contact_area_extended_pore,contact_area_extended_ncm,concated_pore_number
0,0,"[22256.0, 135.5]",22391.5,"[4305.4359694719315, 73.35533845424652]",4378.791307926178,"[[323.21045775160184, 324.4456811239749, 323.484157262763, 324.7214190656354, 325.0, 325.0, 323.64950177622705, 323.64950177622705, 324.6074552440224, 324.89536777245684, 324.89536777245684, 324.89536777245684, 324.89536777245684, 323.93826572357887, 323.93826572357887, 326.1426068455331, 325.85272747055535, 327.099373279742, 327.099373279742, 328.34737702622203, 328.34737702622203, 329.59672328468315, 329.59672328468315, 330.84739684634064, 331.14498335321343, 332.0993827154757, 332.3988567970714, 333.35266610603253, 333.35266610603253, 333.35266610603253, 334.3067453701765, 334.6072324382723, 340.28223579846184, 340.58919536591293, 341.23452345857385, 340.93107807883985], [322.981423614424, 322.981423614424]]","[329.0502246270905, 322.981423614424]",2410.1903015375137,70.88795004522099,3260.301337003708,5820.59480547905,79
1,1,[2092.0],2092.0,[664.7127648591995],664.7127648591995,"[[451.12415142619, 451.12415142619, 450.15552867870014, 450.15552867870014, 450.15552867870014, 450.15552867870014, 450.15552867870014, 450.15552867870014, 450.15552867870014, 450.15552867870014, 450.15552867870014, 449.9077683259092, 448.9387486060877, 447.96986505790767]]",[450.0331744964704],360.5336581468582,25.752404153347015,546.4978168010712,1165.887465596199,12
2,2,[4535.5],4535.5,[1059.2712017297745],1059.2712017297745,"[[807.3078718803627, 807.3078718803627, 811.6711156620026, 811.6711156620026, 811.6711156620026, 811.6711156620026, 811.0394565001138, 811.0394565001138, 810.2641544582852, 810.2641544582852, 811.0394565001138, 810.4085389481037, 811.0394565001138, 811.184935757562, 487.8780585351221, 811.184935757562, 811.184935757562]]",[791.6369262400985],84.17620468139648,28.058734893798828,114.25003743171692,234.1826287508011,1
3,3,[3287.5],3287.5,[1007.3056915998459],1007.3056915998459,"[[323.24603632527345, 322.2623155133098, 322.2623155133098, 321.27869521647403, 321.27869521647403, 321.27869521647403, 321.27869521647403, 321.27869521647403, 321.27869521647403, 320.2951763608063, 320.2951763608063, 320.2951763608063, 320.11560411826224, 318.14776441144454, 317.9701243827791, 316.1803282938393, 316.1803282938393]]",[320.2895598372541],57.63183808326721,4.802653173605601,106.7814211845398,209.10153019428253,6
4,4,[16673.0],16673.0,[3750.7496777772903],3750.7496777772903,"[[666.2739676739592, 664.8917205079335, 664.3508109425321, 664.0512028450818, 663.509608069092, 662.6688464082192, 661.8285276414126, 661.8285276414126, 661.8285276414126, 660.9886534578336, 660.9886534578336, 660.6935749649757, 659.8552871652996, 659.0174504518071, 659.0174504518071, 658.1800665471418, 658.1800665471418, 657.3431371817918, 657.8913284122234, 657.8913284122234, 658.4405819813963, 658.4405819813963, 658.990895233007, 658.1565163393886, 658.1565163393886, 658.7085850359019, 658.7085850359019, 659.2617082767662, 658.4291913334341, 658.4291913334341, 657.597141113007, 657.597141113007, 657.3218389799626, 655.9344479443049, 656.4914317795777, 655.1038085677719, 655.1038085677719, 655.1038085677719, 654.2736430577041, 654.2736430577041, 653.7162993225731, 653.7162993225731, 653.7162993225731, 653.7162993225731, 653.1600110233326, 652.604780858982, 651.4975057511732, 651.4975057511732]]",[658.113058390306],461.8053321838379,14.896946199478641,782.4319987297058,1644.8844047784805,25
5,5,[13391.5],13391.5,[2593.691679120064],2593.691679120064,"[[460.63543068244326, 460.63543068244326, 461.07808449328843, 460.6300033649567, 460.6300033649567, 461.52464722915937, 461.97510755450884, 461.97510755450884, 461.97510755450884, 462.87147244132467, 462.87147244132467, 462.4294540792141, 462.4294540792141, 461.53223072717253, 461.53223072717253, 461.53223072717253, 481.71775968921884, 461.07916890703274, 461.07916890703274, 460.63543068244326, 460.63543068244326, 460.63543068244326, 460.63543068244326, 459.7531946599175, 459.7531946599175, 459.7531946599175, 457.9781654183963, 456.64209179618996, 457.10830226544783]]",[461.5056355653867],191.5550947189331,15.962924559911093,320.5357344150543,572.6867597103119,11
6,6,[11301.0],11301.0,[2741.726168990135],2741.726168990135,"[[276.6224864323217, 275.74807342935327, 275.74807342935327, 276.6224864323217, 275.26351011349107, 275.74807342935327, 274.87451682540524, 274.4922585429323, 274.4922585429323, 552.8001447177813, 273.2489707208428, 270.80066469637774, 270.80066469637774, 269.59599403551977, 269.59599403551977, 268.73965096353015, 267.88430338487547, 267.36678926149375, 267.36678926149375, 266.8520189168521, 266.8520189168521, 266.8520189168521, 266.8520189168521, 266.3400082601185, 265.4806960967219, 265.4806960967219, 264.62237244798484, 265.4806960967219, 265.4806960967219, 265.4806960967219, 266.3400082601185, 266.3400082601185, 266.1879035568671, 265.32432983049256, 263.60007587252323, 264.1098256407739]]",[277.0968830897581],329.1768544912338,25.32129649932568,434.12927532196045,879.0288883447647,15
7,7,[5096.5],5096.5,[1389.6092952489853],1389.6092952489853,"[[358.62096982747676, 360.76030823803217, 360.07360358682223, 360.8018846957427, 360.07360358682223, 360.8018846957427, 360.1180362047977, 360.1180362047977, 360.1180362047977, 360.1180362047977, 359.43566879206634, 359.43566879206634, 359.43566879206634, 359.43566879206634, 359.43566879206634, 359.43566879206634, 359.43566879206634, 360.90164865237176, 360.90164865237176, 363.0495833904785, 363.0495833904785, 363.0495833904785]]",[360.3911876577488],252.72774064540863,18.051981474672044,436.94860565662384,791.845057964325,19
8,8,"[166254.0, 77.0, 491.5, 1388.5]",168211.0,"[18534.78496670723, 35.55634891986847, 153.1248904466629, 377.57568180561066]",19101.04188787937,"[[657.6397189951349, 656.8896406551104, 656.8896406551104, 656.8896406551104, 655.9153908851355, 656.1417529772053, 654.9412187364603, 653.6795851179689, 652.7066722502536, 651.7338413800529, 651.9662567955492, 649.2680494218085, 647.8155601712574, 646.3721838074408, 645.4037496017512, 644.6859700660469, 644.9379815145019, 644.2243398071823, 643.2573357529628, 643.5130146314059, 643.5130146314059, 642.804013677575, 642.804013677575, 643.0629829184696, 643.0629829184696, 642.0973446448755, 642.0973446448755, 641.3930152410455, 641.3930152410455, 641.3930152410455, 641.3930152410455, 642.3581555487561, 642.3581555487561, 642.3581555487561, 642.3581555487561, 642.0973446448755, 643.0629829184696, 643.0629829184696, 644.0287260674014, 644.0287260674014, 644.7363802361397, 644.7363802361397, 644.7363802361397, 644.7363802361397, 645.7027179747658, 645.7027179747658, 645.4463571823766, 646.4131805586889, 645.7027179747658, 646.669158070802, 646.2197768561405, 645.2542134693891, 645.5152980371573, 644.8131512306492, 644.113344062984, 643.4158841682415, 642.7207791879767, 640.1226444986929, 640.1226444986929, 637.8165880564726, 628.3732966955232, 628.3732966955232, 628.3732966955232, 627.1148220222514, 627.42170826327, 626.1629180971994, 626.1629180971994, 625.2111643277013, 625.2111643277013, 624.2595614005444, 624.2595614005444, 623.3081100066001, 623.3081100066001, 623.3081100066001, 622.3568108408551, 622.3568108408551, 621.4056646024399, 620.4546719946591, 619.5038337250222, 619.5038337250222, 618.5531505052738, 617.6026230514245, 616.6522520837818, 616.6522520837818, 615.3909326598824, 615.3909326598824, 614.4403958074371, 614.4403958074371, 613.4900162186831, 613.4900162186831, 613.1794190936288, 613.1794190936288, 611.9191123016178, 611.9191123016178, 611.9191123016178, 611.9191123016178, 611.9191123016178, 611.9191123016178, 611.6109874748818, 611.6109874748818, 612.5626498571391, 613.5144660071187, 613.5144660071187], [643.3234023413107], [648.7318398228963, 648.7318398228963, 648.5136852835104], [649.6375912768596, 651.3079148912594, 651.3079148912594, 654.7251331665831, 654.7251331665831]]","[634.500146419414, 643.3234023413107, 648.659121643101, 652.3407374785089]",4121.2492290735245,58.874988986764635,5220.450114369392,9740.735099315643,120
9,9,"[53427.0, 2365.5]",55792.5,"[7370.50440788269, 616.5411919355392]",7987.04559981823,"[[304.1710045352778, 302.9488405655318, 303.9161068452937, 303.9161068452937, 303.66428831853113, 303.66428831853113, 304.6325655605454, 303.66428831853113, 303.66428831853113, 305.60104711862493, 305.60104711862493, 305.60104711862493, 305.60104711862493, 301.43821920917725, 300.48294460751015, 299.5279619668254, 299.5279619668254, 298.2767171604247, 297.3213749463701, 296.36632737205485, 295.4115772951358, 357.3289800729854, 357.7373338079211, 357.94552658190884, 356.9677856613955, 356.9677856613955, 356.9677856613955, 356.9677856613955, 355.990168403567, 355.990168403567, 355.990168403567, 355.990168403567, 355.990168403567, 355.990168403567, 355.990168403567, 355.990168403567, 355.990168403567, 355.990168403567, 356.20218977429096, 356.20218977429096, 355.225280631883, 355.225280631883, 355.225280631883, 355.225280631883, 354.0353089735542, 354.0353089735542, 353.0580688781946, 353.0580688781946, 352.51241112902676, 351.31894341182345], [295.1829940901068, 295.53003231482245, 294.5929394944828, 294.5929394944828, 294.24479604574145, 294.24479604574145, 296.1215966457023, 296.1215966457023]]","[333.1421466017884, 295.0789613470978]",2037.538126707077,49.69605187090432,2625.6232694387436,5198.968221664429,53
