,Pore_id,volume_raw,volume_mean,surface_raw,surface_mean
0,1,[133.0],133.0,[132.88224983215332],132.88224983215332
1,2,[279.5],279.5,[273.3502861261368],273.3502861261368
2,3,[65.5],65.5,[63.041630148887634],63.041630148887634
3,4,[79.5],79.5,[104.01219260692596],104.01219260692596
4,5,[105.5],105.5,[100.91168737411499],100.91168737411499
5,6,[12.0],12.0,[31.97056245803833],31.97056245803833
6,7,[52.5],52.5,[73.5269113779068],73.5269113779068
7,8,[109.5],109.5,[96.84061968326569],96.84061968326569
8,9,[18.5],18.5,[28.899494767189026],28.899494767189026
9,10,[47.0],47.0,[71.28427076339722],71.28427076339722
10,11,[103.5],103.5,[95.66904675960541],95.66904675960541
11,12,"[35.5, 134.0]",84.75,"[66.28427076339722, 173.5096664428711]",119.89696860313416
12,13,[128.5],128.5,[137.95331752300262],137.95331752300262
13,14,[156.0],156.0,[165.22539567947388],165.22539567947388
14,15,[97.0],97.0,[136.88224983215332],136.88224983215332
15,16,[156.0],156.0,[165.22539567947388],165.22539567947388
16,17,[97.0],97.0,[136.88224983215332],136.88224983215332
17,18,"[153.0, 46.0]",99.5,"[172.46803629398346, 76.11269783973694]",124.2903670668602
18,19,"[46.0, 84.0]",65.0,"[76.11269783973694, 130.88224983215332]",103.49747383594513
19,20,[84.0],84.0,[130.88224983215332],130.88224983215332
20,21,[113.5],113.5,[161.95331752300262],161.95331752300262
21,22,[33.5],33.5,[53.38477599620819],53.38477599620819
22,23,[41.5],41.5,[67.18376553058624],67.18376553058624
23,24,[31.0],31.0,[29.14213538169861],29.14213538169861
24,25,"[35.0, 44.5]",39.75,"[52.79898953437805, 59.870057225227356]",56.334523379802704
25,26,"[44.5, 45.5]",45.0,"[59.870057225227356, 64.35533845424652]",62.11269783973694
26,27,"[45.5, 41.5]",43.5,"[64.35533845424652, 58.76955199241638]",61.56244522333145
27,28,"[41.5, 33.0]",37.25,"[58.76955199241638, 29.55634891986847]",44.162950456142426
28,29,[33.0],33.0,[29.55634891986847],29.55634891986847
29,30,[33.0],33.0,[53.21320307254791],53.21320307254791
30,31,[73.5],73.5,[153.53910398483276],153.53910398483276
31,32,[38.5],38.5,[58.28427076339722],58.28427076339722
32,33,[77.5],77.5,[155.1959581375122],155.1959581375122
33,34,[54.5],54.5,[46.21320307254791],46.21320307254791
34,35,[47.0],47.0,[64.4558436870575],64.4558436870575
35,36,[14.5],14.5,[46.69848430156708],46.69848430156708
36,37,[16.5],16.5,[36.55634891986847],36.55634891986847
37,38,[82.0],82.0,[90.25483322143555],90.25483322143555
38,39,[46.5],46.5,[52.62741661071777],52.62741661071777
39,40,[11.0],11.0,[35.62741661071777],35.62741661071777
40,41,[19.0],19.0,[36.31370830535889],36.31370830535889
41,42,[46.0],46.0,[66.4558436870575],66.4558436870575
42,43,[69.0],69.0,[78.25483322143555],78.25483322143555
43,44,[58.5],58.5,[67.04163014888763],67.04163014888763
44,45,[13.5],13.5,[30.55634891986847],30.55634891986847
45,46,[40.0],40.0,[82.94112491607666],82.94112491607666
46,47,[58.5],58.5,[84.01219260692596],84.01219260692596
47,48,[54.0],54.0,[45.62741661071777],45.62741661071777
48,49,[14.5],14.5,[47.870057225227356],47.870057225227356
49,50,[59.5],59.5,[87.18376553058624],87.18376553058624
50,51,[59.5],59.5,[55.38477599620819],55.38477599620819
51,52,[23.5],23.5,[55.870057225227356],55.870057225227356
52,53,[61.5],61.5,[83.18376553058624],83.18376553058624
53,54,[63.0],63.0,[63.62741661071777],63.62741661071777
54,55,[20.5],20.5,[47.041630148887634],47.041630148887634
55,56,[8.5],8.5,[29.727921843528748],29.727921843528748
56,57,[60.0],60.0,[73.01219260692596],73.01219260692596
57,58,[11.5],11.5,[32.97056245803833],32.97056245803833
58,59,[57.0],57.0,[74.11269783973694],74.11269783973694
59,60,"[15.0, 10.0]",12.5,"[35.55634891986847, 27.485281229019165]",31.520815074443817
60,61,[10.0],10.0,[27.071067690849304],27.071067690849304
61,62,[63.0],63.0,[63.35533845424652],63.35533845424652
62,63,[36.5],36.5,[57.455843687057495],57.455843687057495
63,64,[73.0],73.0,[100.39696860313416],100.39696860313416
64,65,[38.5],38.5,[58.21320307254791],58.21320307254791
65,66,[65.0],65.0,[93.91168737411499],93.91168737411499
66,67,[32.0],32.0,[57.28427076339722],57.28427076339722
67,68,[66.0],66.0,[73.42640614509583],73.42640614509583
68,69,[25.5],25.5,[34.14213538169861],34.14213538169861
69,70,[34.5],34.5,[43.38477599620819],43.38477599620819
70,71,[32.5],32.5,[35.041630148887634],35.041630148887634
71,72,[28.5],28.5,[43.38477599620819],43.38477599620819
